,Location Names,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,Missing Addresses
ESMF,Elkhart Schools: Mary Feeser,ELK,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
MBFP,Middlebury Community Food Pantry - Food Distribution Center,ELK,0,0,CCFN,159,288,0,0,0,54,142.5,0,0,643.5,78,0,
GSPE,Goshen Schools: Parkside Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
MBFP,Middlebury Community Food Pantry - Food Distribution Center,ELK,0,0,CCFN,0,0,0,0,280,0,0,375,300,655,78,0,
ESMD,Elkhart Schools: Mary Daly,ELK,0,0,Backpack,0,0,0,0,0,0,0,247.5,198,247.5,78,0,
ESB,Elkhart Schools: Bristol,ELK,0,0,Backpack,0,0,0,0,0,0,0,285,228,285,78,0,
THB,Bristol Community Food Pantry,ELK,0,0,CCFN,64.5,172,155,129,0,0,128,150,120,798.5,78,0,
GSHS,Goshen Schools: High School,ELK,0,0,Backpack,0,0,0,0,0,0,11,412.5,330,423.5,78,0,
GSWGE,Goshen Schools: West Goshen Elementary,ELK,0,0,Backpack,0,0,0,0,0,0,0,60,48,60,78,0,
SAE,Salvation Army: Elkhart,ELK,0,0,CCFN,0,0,0,96,0,0,45,112.5,90,253.5,78,0,
SJL,St. Joe County Public Library,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
TC,Tolson Center,ELK,0,0,CCFN,0,0,0,0,0,0,0,150,120,150,78,0,
WHCP,World Harvest Church Elkhart,ELK,0,0,CCFN,0,0,0,0,112,0,0,0,0,112,78,0,
FFC,Families First Center,SJ,0,0,Backpack,0,0,0,0,0,0,0,150,120,150,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,24,15,27,0,0,32,30,24,128,78,0,"911 California Ave, South Bend, IN 46616"
TMLF,"1323 Miami , South Bend, IN, United States, Indiana",SJ,0,0,CCFN,120,256,12,210,450,450,883,0,0,2381,78,0,
OOA,Oliver Apartments,SJ,0,0,CCFN,0,0,8,40,0,0,151,75,60,274,78,0,"924 W Indiana Ave, South Bend, IN 46613"
OPSHE,Oaklawn Psychiatric Center,ELK,0,0,CCFN,0,0,0,0,0,24,88,0,0,112,78,0,
OPSHG,Oaklawn Psychiatric Center - Lakview Drive,ELK,0,0,CCFN,0,24,1.7,151,2,0,83.7,0,0,262.4,78,0,
SBCS,South Bend Community Schools: Edison,SJ,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
SBCS,South Bend Community Schools: Harrison,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
SBCS,South Bend Community Schools: Navarre,SJ,0,0,Backpack,4,48,0,22,42,0,4,0,0,120,78,0,
SJL,St. Joe County Public Library,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
BTK,Life Changers South Bend Indiana,SJ,0,0,CCFN,12,88,0,0,26,33,113.5,0,0,272.5,78,0,
CA,Career Academy,SJ,0,0,Backpack,0,0,0,0,0,0,0,300,240,300,78,0,
CSC,Clubhouse of St. Joseph County,SJ,0,0,CCFN,0,64,14,0,0,0,143.3,0,0,221.3,78,0,
MTS,Marshall Traditional School,SJ,0,0,Backpack,0,0,0,0,0,0,0,382.5,306,382.5,78,0,
MHA,Miami Hills Apartments,SJ,0,0,CCFN,50,0,0,0,25,0,51,0,0,126,78,0,
NIA,Atheists of Northern Indiana Inc.,SJ,0,0,CCFN,0,0,0,16,13,0,54,22.5,18,105.5,78,0,
PSB,Paramount South Bend,SJ,0,0,Backpack,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
PMBC,Progressive Missionary Baptist Church,SJ,0,0,CCFN,0,0,0,0,0,33,32.5,0,0,65.5,78,0,"1232 E Bronson St, South Bend, IN 46615"
RL,Resurrection Lutheran,SJ,0,0,CCFN,0,0,0,0,0,0,0,82.5,66,82.5,78,0,
SBCS,South Bend Community Schools: Nuner Elementary,SJ,0,0,Backpack,0,0,0,0,0,0,11,127.5,102,138.5,78,0,
SBCS,South Bend Community Schools: Clay Intermediate,SJ,0,0,Backpack,0,0,0,0,0,0,0,600,480,600,78,0,
SBCS,South Bend Community Schools: Wilson,SJ,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
TWFF,The Walorski Family Foundation,SJ,0,0,CCFN,0,0,8,0,42,0,8,0,0,58,78,0,
VFP,Village Pantry,SJ,0,0,CCFN,0,0,0,0,14,330,4.5,0,0,348.5,78,0,"13060 Jefferson Blvd, Mishawaka, IN 46545"
OHA,Oaklawn: Hope Ave,ELK,0,0,CCFN,161.5,0,0,0,74.5,71.8,121.3,0,0,429.1,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,53,0,0,40,0,17.25,108,30,24,248.25,78,0,"911 California Ave, South Bend, IN 46616"
CBCC,Charles Black Community Center,SJ,0,0,CCFN,48,0,0,0,0,0,45,0,0,93,78,0,
CTAC,Christ Temple Apostolic,SJ,0,0,CCFN,0,0,40,0,0,0,85.5,0,0,125.5,78,0,"2307 Elwood Ave, South Bend, IN 46628"
FAF,Community Fridge,SJ,0,0,CCFN,0,48,20,35,0,0,100.25,0,0,203.25,78,0,"911 California Ave, South Bend, IN 46616"
OPC,Oaklawn Psychiatric Center,SJ,0,0,CCFN,0,0,5,8,0,0,8,30,24,51,78,0,
UG,Unity Gardens,SJ,0,0,CCFN,0,0,70,103,0,0,20,0,0,193,78,0,
0,Young Women's Christian Association,SJ,0,0,CCFN,0,0,40,0,0,0,309.5,75,60,424.5,78,0,
FO,Fishers Outreach,SJ,0,0,CCFN,0,0,10,16.5,0,0,77.5,0,0,104,78,0,
LYD,Lydick United Methodist Church,SJ,0,0,CCFN,45,104,44,38.5,0,0,410,0,0,641.5,78,0,
UM,U Matter 2,MAR,0,0,CCFN,0,0,70,96,0,0,311.5,150,120,627.5,78,0,
0,Indiana Health Centers,SJ,0,0,CCFN,0,0,0,0,0,0,21,0,0,21,78,0,
STVINC,St. Vincent de Paul - St. Thomas,ELK,0,0,CCFN,127,0,0,0,0,153,70.3,0,0,350.3,78,0,
OP,Oaklawn,SJ,0,0,CCFN,108.25,79,1.7,0,16,97.3,110.5,0,0,412.75,78,0,"415 E Madison St, South Bend, IN 46617"
ORC,Oaklawn: Recovery Cafe,SJ,0,0,CCFN,0,0,0,0,9,0,234,22.5,18,265.5,78,0,
