Date,Vendor Code,Vendor,County,"Notes for ""Other",Order #,Program,Protein LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indiv Meal LBS,Indiv Meals,Total Pounds," 8,093,927.70 ",,,,,,,,
1/12/2023,,The Hub Bristol,Elkhart,,5373,CCFN,,,,,,60,210,,,270,,,,,,,,,
1/12/2023,,The Hub Bristol,Elkhart,,5418,CCFN,,,,,,,5,,,5,,,,,,,,,
1/12/2023,,The Hub Bristol,Elkhart,,5419,CCFN,,,15.1,,,4,48,,,67.1,,,,,,,,,
1/12/2023,,The Hub Bristol,Elkhart,,5425,CCFN,80,,46.8,395,8.7,,20,,,550.5,,,,,,,,,
1/12/2023,,The Hub Bristol,Elkhart,,5438,CCFN,,,5,,22.7,,0,,,27.7,,,,,,,,,
1/12/2023,,The Hub Bristol,Elkhart,,5440,CCFN,145.8,,,,,,20,,,165.8,,,,,,,,,
1/12/2023,,The Hub Bristol,Elkhart,,5446,CCFN,,,7.3,4.2,,,81.2,,,92.7,,,,,,,,,
1/13/2023,,Christ the King - St. Vincent de Paul,St. Joseph,,5189,Backpack,,,,,,,,60,48,60,,,,,,,,,
1/13/2023,,Cultivate Food Rescue,St. Joseph,,5429,Backpack,,,,,,,,75,60,75,,,,,,,,,
1/13/2023,,Cultivate Food Rescue,St. Joseph,,5429,CCFN,24,,,,3,,,,,27,,,,,,,,,
1/13/2023,,Maranatha Missionary Baptist Church,St. Joseph,,5360,Backpack,,,,,,,,150,120,150,,,,,,,,,
1/13/2023,,Maranatha Missionary Baptist Church,St. Joseph,,5360,CCFN,,,,,,,120,,,120,,,,,,,,,
1/13/2023,,Maranatha Missionary Baptist Church,St. Joseph,,5471,Backpack,,,,,,,,127.5,102,127.5,,,,,,,,,
1/13/2023,,Maranatha Missionary Baptist Church,St. Joseph,,5471,CCFN,90.5,,,,,,53.8,,,144.3,,,,,,,,,
1/13/2023,,Project Scope,,,3971,CCFN,73,,,,,,,,,73,,,,,,,,,
1/16/2023,,Brick of Hope Ministries,,,5445,CCFN,,,,,,662.6,48,,,713.2,,,,,,,,,
1/16/2023,,Lydick United Methodist Church,St. Joseph,,5452,CCFN,,,,,,99,,,,99,,,,,,,,,
1/16/2023,,Lydick United Methodist Church,St. Joseph,,5498,CCFN,,,,,,,98,,,98,,,,,,,,,
1/16/2023,,Lydick United Methodist Church,St. Joseph,,5500,CCFN,,,,,,,80.6,,,80.6,,,,,,,,,
1/16/2023,,Oaklawn Properties,St. Joseph,,5462,CCFN,,22.5,,,,,116,,,138.8,,,,,,,,,
1/16/2023,,Open Gate Praise and Deliverance Ministries,,,5330,CCFN,,,238,24.5,169,73.5,60,,,565,,,,,,,,,
1/17/2023,,Broadway Christian Parish,St. Joseph,,5483,Backpack,,,,,,,,75,60,75,,,,,,,,,
1/17/2023,,Broadway Christian Parish,St. Joseph,,5483,CCFN,,,23,,,85.3,,,,108.3,,,,,,,,,
1/17/2023,,Broadway Christian Parish,St. Joseph,,5536,CCFN,,,10,,,123.5,52.5,,,186,,,,,,,,,
1/17/2023,,Christ the King - St. Vincent de Paul,St. Joseph,,5397,Backpack,,,,,,,,37.5,30,37.5,,,,,,,,,
1/17/2023,,Christ the King - St. Vincent de Paul,St. Joseph,,5397,CCFN,3.8,,0.9,13.5,,,65.3,,,83.6,,,,,,,,,
1/17/2023,,Christ the King - St. Vincent de Paul,St. Joseph,,5505,CCFN,,,,,,,0.9,,,0.9,,,,,,,,,
1/17/2023,,Maranatha Missionary Baptist Church,St. Joseph,,5472,Backpack,,,,,,,,150,120,150,,,,,,,,,
1/17/2023,,St. Augustine Parish - Soup Kitchen,St. Joseph,,5548,CCFN,,,,,40,,,,,40,,,,,,,,,
1/17/2023,,St. Vincent De Paul - Center,St. Joseph,,5489,CCFN,,,,,30,583,44,,,657,,,,,,,,,
1/18/2023,,Antioch Missionary Baptist Church,St. Joseph,,5449,CCFN,27.5,,,,,,66,,,93.5,,,,,,,,,
1/18/2023,,Antioch Missionary Baptist Church,St. Joseph,,5485,CCFN,,,,,6,,,,,6,,,,,,,,,
1/18/2023,,Antioch Missionary Baptist Church,St. Joseph,,5494,CCFN,,,,,,,36,,,36.6,,,,,,,,,
1/18/2023,,Antioch Missionary Baptist Church,St. Joseph,,5517,CCFN,,,,,6,,,,,6,,,,,,,,,
1/18/2023,,Boys & Girls Club - Nappanee,,,3410,CCFN,38,,0.9,0.6,24,5,41,,,109.5,,,,,,,,,
1/18/2023,,Bread of Life Community FP,LaGrange,,5544,CCFN,110,,2.2,,91.3,300,442,,,945.5,,,,,,,,,
1/18/2023,,Brick of Hope Ministries,,,5545,CCFN,10,,,,,,32,,,42,,,,,,,,,
1/18/2023,,Broadway Christian Parish,St. Joseph,,5539,Backpack,,,,,,,,75,60,75,,,,,,,,,
1/18/2023,,Broadway Christian Parish,St. Joseph,,5539,CCFN,25,,23.4,18,,,50,,,116.4,,,,,,,,,
1/18/2023,,Community Food Pantry of New Carlisle,,,5456,CCFN,30,,,,,,,,,30,,,,,,,,,
1/18/2023,,Community Food Pantry of New Carlisle,,,5467,CCFN,20,,,,,,141,,,161,,,,,,,,,
1/18/2023,,Community Food Pantry of New Carlisle,,,5512,CCFN,,,,,,20,,,,20,,,,,,,,,
1/18/2023,,Community Food Pantry of New Carlisle,,,5574,CCFN,,,,,,80,,,,80,,,,,,,,,
1/18/2023,,David's Courage,,,5423,CCFN,,,,,26,,,,,26,,,,,,,,,
1/18/2023,,David's Courage,,,5521,CCFN,,,,,,,,,,0.3,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5331,CCFN,38,,0,0,,,14,,,52,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5342,CCFN,21.8,,,,,72,,,,93.8,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5370,CCFN,,,0,0,26,,,,,26,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5375,CCFN,,,,,,,100,,,100,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5421,CCFN,226,,0,,0,132,66.6,,,424.6,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5477,CCFN,4,,,,3,,,,,7,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5478,CCFN,,,,,,6.6,,,,6.6,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5497,CCFN,,,,,,,320.1,,,323.6,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5508,CCFN,,,,,,,4.1,,,4.1,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5510,CCFN,,,,,,,,,,0.1,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5546,CCFN,12,,,,,,,,,12,,,,,,,,,
1/18/2023,,Hope Avenue - Oaklawn,St. Joseph,,5569,CCFN,,,,,5.6,,,,,5.6,,,,,,,,,
1/18/2023,,Marshall County Neighborhood Center,Marshall,,5459,CCFN,97.5,,,,150,,128.4,,,375.9,,,,,,,,,
1/18/2023,,Marshall County Neighborhood Center,Marshall,,5540,CCFN,,,,60,45,,,,,105,,,,,,,,,
1/18/2023,,Mishawaka Food Pantry,St. Joseph,,5474,Backpack,,,,,,,,30,24,30,,,,,,,,,
1/18/2023,,Mishawaka Food Pantry,St. Joseph,,5474,CCFN,,,,,,8,,,,8,,,,,,,,,
1/18/2023,,Mishawaka Food Pantry,St. Joseph,,5554,CCFN,57,,,141.3,,48,32,,,278.3,,,,,,,,,
1/18/2023,,Monastery of the Holy Martyrs,St. Joseph,,5458,CCFN,,,,,30,20,106,,,156,,,,,,,,,
1/18/2023,,Monastery of the Holy Martyrs,St. Joseph,,5482,CCFN,,,,,,,7,,,7,,,,,,,,,
1/18/2023,,Monastery of the Holy Martyrs,St. Joseph,,5484,CCFN,,,,,,,100,,,100,,,,,,,,,
1/18/2023,,Monastery of the Holy Martyrs,St. Joseph,,5496,Backpack,,,,,,,,150,120,150,,,,,,,,,
1/18/2023,,Monastery of the Holy Martyrs,St. Joseph,,5496,CCFN,,,,,,,308,,,311.1,,,,,,,,,
1/18/2023,,Monastery of the Holy Martyrs,St. Joseph,,5501,CCFN,,,,,,,,,,2.5,,,,,,,,,
1/18/2023,,Monastery of the Holy Martyrs,St. Joseph,,5502,CCFN,,,,,1,,50,,,51,,,,,,,,,
1/18/2023,,Monastery of the Holy Martyrs,St. Joseph,,5515,CCFN,,,,,,,,,,0.4,,,,,,,,,
1/18/2023,,Monastery of the Holy Martyrs,St. Joseph,,5516,CCFN,,,,,1.3,,9,,,10.9,,,,,,,,,
1/18/2023,,Monastery of the Holy Martyrs,St. Joseph,,5547,CCFN,36,,,,,,,,,36,,,,,,,,,
